,precision,recall,f1-score,support
Post-30s,0.561192577663493,0.8834792122538293,0.686387011772706,9140.0
Pre-30s,0.8134197617379118,0.4237473761065985,0.5572157215721573,10957.0
accuracy,0.6328307707618053,0.6328307707618053,0.6328307707618053,0.6328307707618053
macro avg,0.6873061697007024,0.653613294180214,0.6218013666724316,20097.0
weighted avg,0.6987082892574326,0.6328307707618053,0.6159620813488909,20097.0
